Abko.	Eso es!
Ja müre kete.	Asesinar.
Ja nuente.	Practicar.
Ja nuente.	Adiestrar.
Ja nuente.	Enseñar.
Ja ngä ñain.	Beber.
Ja ngibiare.	Dar a luz.
Ja ngibiare.	Esperar.
Ja rüere.	Enemigo.
Ja rüere.	Rival.
Ja rüere.	Adversario.
Ja tarere.	Amar.
Ja tötikaka.	Estudiante.
Ja tötikaka.	Estudioso.
Ja töbikaire.	Preocupado.
Ja tötike.	Estudiar.
Ja tökrä.	Un recuerdo.
Jadenkä.	Jugar.
Jadenkä.	Deporte.
Jadüke.	Descansar.
Jakare.	Vergüenza.
Jakenkä.	Alzar uno a otro.
Jakwite.	Disfrazar.
Jakwite.	Cambiar.
Jakwite.	Turnar.
Jaknu.	Continuo.
Jaknu.	Siempre.
Jaknu.	Cada vez.
Jali.	Risacua.
Janama.	Fue.
Janäre.	Igual tamaño.
Janäre.	Parejo.
Jare.	Parientes.
Jataba.	Vino.
Jata.	Orilla del mar.
Jata.	Playa.
Jato.	Potrero.
Jatoaba.	Vio.
Jatoaba.	Vimos.
Jatobti.	Voluntad.
Jatobti.	Voluntario.
Jä.	Piedra.
Jä.	Roca.
Jä münü.	Polvo de roca.
Jädriane.	Ayer.
Jäe.	Malestar.
Jäkäni.	Haló.
Jäke.	Halar.
Jäme.	Quieto.
Jäme.	Manso.
Jäme.	Humilde.
Jämi.	Todavía.
Jämi.	Aún.
Jämi mribo.	No esta maduro.
Jän.	Sí.
Jändrän.	Cosas.
Jätäira.	Diez días.
Jändrän.	Cosas.
Jätäkä.	Baño.
Jätäkäte.	Ir al baño.
Jen.	Propio.
Jene.	Diferente.
Jene jene.	Dividido.
Jene jene.	Parte separada.
Jenena.	Ajeno.
Jenena.	De otro.
Jetebe.	Mañana.
Ji.	Camino.
Ji krai.	Mochila.
Ji kri.	Carretera.
Ji ngwen.	Guiar.
Ji ngwen.	Dirigir.
Jialire.	Oxidado.
Jibe.	Cosquillear.
Jikri.	Cigarra.
Jikwili.	Pajaro.
Jiebti.	Seguir.
Jiemike.	Imitar.
Jioro.	Hierro.
Jiro.	Gabiota.
Jida.	Cerebro.
Jitrasi.	Moracho.
Jlaka.	Lagarto.
Jlata.	Cañizo.
Jlima.	Lima.
Jlimo.	Limón.
Jlira jlira.	Muy flaco.
Jlitikete.	Cosquillar.
Jrute.	Pedir alimento.
Jobe.	Aguacero.
Joborie.	Agosto.
Jodrón.	Cosillas.
Jodron date jue.	Casa de fábrica.
Joeme.	Cobarde.
Jorakä.	Penca.
Joko.	Araña.
Jokorie.	Noviembre.
Jole.	Tontorojas.
Jökrä.	Todo.
Jörän.	Mosquito.
Jörän.	Zancudo.
Jötrö.	Muy rápido.
Jötrö Jötrö.	Constantemente.
Jrekäbe.	Solamente.
Ju.	Edificio.
Jube.	Greñudo
Jube.	Ropa grande.
Jubra.	Pájaro raqueta
Juda.	Nido.
Judakwata.	bolsa amniótica.
Juden.	Gallote.
Juden.	Zopilote.
Jullali.	Vagina.
Juentari.	Largar.
Junkue.	Nudo.
Jukwe.	Puerta.
Jukwe tigara.	Llave.
Jumen.	Grave.
Junun.	Trasero.
Junun.	Nalga.
Jurin.	Mono aullador.
Juta Ngöbökwe.	Pueblo de Dios.
Juta.	Comunidad.
Juto.	Liviano.
Jutra.	Fuego.
Jutra.	Luz.
Ju.	Bazo.
Jüben.	Bañarse.
Jükara.	Pintura.
Jüke.	Silbar.
Jükete.	Bañarte.
Jürä nuen.	Espiar.
Jürä nuen.	Insinuar.
Jürü.	Suegro.
Kä kämen.	el tiempo está malo.
Kä rä.	olores.
Kabré.	montón.
Kada.	boca.
Kaibe.	solo.
Ñö.	lluvia.
Kämen.	malos.
Käne.	primero.
Kare.	verde.
Kärere íe.	pídalo a él.
Käte.	gordo.
Kati.	una hoja.
Kegue.	vaciar.
Kete.	empaque.
Ketéiti.	un paquete.
Kise.	mano.
Kideiti.	rácimos.
Kíra.	viene.
Kíra.	antiguo.
Kíra.	viejo.
Kite.	tire.
Kobógwä.	cuatro.
Köböiti.	un día.
Komä.	tres.
Köte.	gordo.
Krä.	flaco.
Krati.	un animal.
Krene.	perezoso.
Krí.	grande.
Krí kä.	hoja de árbol.
Krübäte.	demasiado.
Kubú.	dos.
Kugwe.	palabra.
Kuni.	encontró.
Küra.	terminó.
Kürera.	terminaron.
Kwä kügü.	siete.
Kwä ögän.	nueve.
Kwä.	ocho.
Kwaga.	amargo.
Kwäjätä.	diez.
Kwärä.	al lado.
Kwärigué.	cinco.
Kwätí.	seis.
Kwati.	uno.
Kwe.	él.
Kwegwe.	de él.
Kwetádi.	comerán.
Kwete.	comer.
Kwetre.	ellos.
Kwitira.	comieron.
Kwrägri.	 a otro lado.
Mä.	usted.
Mägwe bian tíe.	usted me lo da a mí.
Mä niguí medénde.	¿Usted adónde va?
Mäe.	a usted.
Mägwe.	suyo.
Mägwe.	suya.
Malan.	mariposa.
Mare.	más tarde.
Matáre.	hoy.
Mende.	lejos.
Merire.	femenina.
Mete.	péguelo.
Metre.	cierto.
Metre.	verdad.
Miti.	pegó.
Möre.	hembra.
Mrägä.	familia.
Mun.	ustedes.
Mungwä.	mosca.
Murare.	engripado.
Mura.	gripe.
Muríe.	viento.
Muríe.	aire.
Kwäräi.	Esposo.
Kwäräi.	Esposa.
Me.	Mamá.
Meke.	Madre.
Nukro.	Perro.
Nänä.	Relog.
Ñgänga.	Hija.
Ngöbö täräi.	Biblia.
Ngöbö.	Dios.
brare.	Hombre.
Ma niki mdende.	¿A donde vas?.
Näin.	andar.
Tata.	Padre.
Tata.	Papá.
Tatika.	Viejo.
Tatika.	Anciano.
Nän.	vaya.
Né.	éste.
Né.	tome.
Né ñain.	tome este.
Néa.	ésta.
Negä.	desaparece.
Négri.	a este lado.
Negwe.	de esta.
Nende.	derramar.
Nére.	por aquí.
Néte.	aquí.
Ngäne.	ladrar.
Ngaña.	hormiga.
Ngin.	gusano.
Ngire.	caliente.
Ngugwe.	desplumar.
Ngwai.	hermana.
Ngwana roäre.	en medio día.
Ngwäre.	cara.
Ngwean.	dinero.
Ngwen.	blanco.
Ngwena.	lleve.
Ngwendä íe.	pregunte a él.
Ngwin.	Traer.
Nidan.	macho.
Niguigä.	bolar.
Niguigä.	asustar.
Niguíra.	se fue.
Nirégwe.	de quién.
Nírien.	crecer.
Nírien.	desarrollar.
Nuäre.	Linda.
Nuäre.	Lindo.
Nugwä.	pájaro.
Nun.	nosotros.
Nun kiri.	a lado de nosotros.
Nungwe.	de nosotros.
Ñadre.	tomar.
Ñain.	tome.
Ñó né.	tome esta agua.
Ñö ñain.	tome agua.
Ñü.	Lluvia.
Öba.	avispa.
Ogwä.	ojo.
Ötare.	la mita.
Ötöiti.	un vestido.
Rien.	cocine.
Roro.	cuello.
Rubún.	bravo.
Rubúne.	enojado.
Rürübäine.	vendiendo.
Ségri.	al otro lado.
Ségwe.	de aquella.
Séte.	allá.
Sübrüre.	amarillo.
Tä diguegä.	está caminando.
Tägärä.	para sentar.
Tägue tibien.	siéntese.
Tain.	rojo.
Ti.	yo.
Ti tä sribíre.	yo estoy trabajando.
Ti tä tärä driere.	yo estoy enseñando.
Tigue.	escriba.
Tigwe.	mío.
Töe krägue.	él quiere
Trägwata.	una bolsa plástica.
Ulíe.	 pierna.
Ugwe.	moler.
Ugwen.	olla.
Umbre.	mayor.
Umbre.	anciano.
Üna.	completo.
Üna.	madurar.
Yé.	ése.
Ye kwegwe.	ese es de él.
Ye kwetregwe.	ese es de ellos.
Ye tigwe.	ese es mío.
Ye tigwe.	eso es mío.
Yéte.	ahí.
kwati.	uno.
kubú.	dos.
komä.	tres.
kobógwä.	cuatro.
kwärigué.	cinco.
kwätí.	seis.
kwä kügü.	siete
kwä kwä.	ocho.
kwä ögän.	nueve.
kwäjätä.	diez
Mane.	dulce.
Mocoño.	como te llamas.
moronibiti.	tengo hambre.
Köbo kuin dekä.	Buenos días.
Köbo kuin dere.	Buenas tardes.
Köbo kuin deu.	Buenas Noches.
¿Mä tua ño?	¿Comoestas?
Ani basare.	Vamos a pasear.
Ji ngrabare.	En el camino.
Ni dogwóbotdó.	La cabeza.
Ni ngrabare.	El cuerpo.
Gwi.	En la casa.
Bron jadengo.	Vamos a jugar.
Basare mölöe gondi.	A la casa de la abuela.
Ari jodron ne taen.	Vamos a contar.
Ñóge jodron ñógorótde an ñóge köbotdó.	Pesar y medir.
Ñötde.	En la quebrada.
Ni bren.	Los enfermos.
Ani sribi gondi.	Vamos al campo.
Kó.	El tiempo.
Ja mórógó.	La familia.
Junda mige.	Vamos a la junta.
Ani krünbotdó.	Vamos a la balsería.
Ani basare Steven gondi.	Vamos a visitar a Steven.
Jón, bron.	Sí, vamos.
Jura, betdego.	Apúrate, corre.
Köbö kwin dego, ja mórógó.	Buen día estas mañana, amiga.
¿Mó köböni ño, Steven?	¿Cómo soñaste, Steven?
Ti köböni bononde.	Soñé sabroso.
¿Mó kó ño suliare?	¿Cómo te llamas en castellano?
Ti kó Steven.	Me llamo Steven.
¿Mó kó ño ngóbere?	¿Cómo te llamas en guaymí?
Ti kó Steven.	Me llamo Steven.
¿Mó tó nüne medende?	¿Dónde vives?
Ti tó nüne Tódobotdó.	Vivo en Cerro Otoe.
¿Mó dórebare medende?	¿Dónde naciste?
Ti dórebare Kwradubitdi.	Nací en Cerro Gato.
¿Kó kwóbe móya?	¿Cuántos años tienes?
Kó krójótdo bitdi krókügü tibitdi.	Tengo diecisiete años.
Na mó, mó ñaka blitdani, ¿mó kó ño?	Y tú, no has hablado, ¿cómo te llamas?
Ti kó Steven Cisneros.	Me llamo Steven Cisneros.
Kwin mógróge mun nü ti gondi, ja toaida jetdebe.	Les agradezco que vengan a mi casa, nos vemos mañana.
Kwin Ngöbögróge, ja toaida madangware.	Gracias a Dios, nos vemos más adelante.
¿Dre kugwe, Steven?	¿Qué tal, Steven?
Köbö kwin, Steven.	Buen día, Steven.
¿Mó nigi medende, Steven?	¿A dónde vas, Steven?
Ti nigi Tugwerabitdi.	Voy a Ratón.
¿Mó nigi giere noaine?	¿Qué vas a hacer?
Ti nigi gótdóbotdó setde.	Voy a una reunión allá.
¿Gótdó giere botdó?	¿Reunión sobre qué?
Gótdó sribigró ñö ogwó gwa ngubuara.	Una reunión para trabajar en un estanque de peces.
Na mó, ¿medende gitde, Steven?	Y tú, ¿de dónde vienes, Steven?
Ti Katdubitdi kitde.	Vengo de Caña Brava.
¿Mó nigi giere noaine Katdubitdi?	¿A qué fuiste a Caña Brava?
Ti jani basare botdó blitde roaben.	Fui a visitar y a hablar con un abuelo.
¿Giere góre?	¿Para qué?
Ka kugwenoin botdó kugwe kira.	Para oir sus cantos y sus historias.
¿Mó janama köböben setde?	¿Cuánto días estuviste allá?
Ti janama móderare setde.	Tres días estuve allí.
¿Köböben mó tódi Tugwerabitdi?	Y tú, ¿cuántos días vas a estar en Ratón?
Ngübügen ti kwainda.	Pasado mañana regresaré.
¿Mó noin medende jetdebe?	¿A dónde irás mañana?
Ti tö rabai netde, kri nura tigwe nögaba bomo kónenbotdó ngubuarebitdi.	Estoy pensando quedarme aquí para cuidar las semillas de árboles que sembré la semana pasada.
Kwin ti ngobo, ja ngubua botdó mógwe ñan dö ñai krubotde.	Bien hijo, cuídate y no tomes mucha chicha.
Ñakare Steven, ti ñaka jire chi neme dröbare.	No Steven, yo nunca me emborracho.
Mó ningögö, Steven, Ngöbö riga móben, ja toaida ngübügen.	Mentiroso, Steven, Que Dios vaya contigo, nos vemos pasado mañana.
Ngöbö reba móben, Steven, Ja toaida.	Que Dios quede contigo, Steven, Nos vemos.
Kwin Ngöbögróge dego, kiatdre.	Bendito sea Dios hoy, niños.
Köbö kwin dego, dirigó.	Buen día, maestra.
Ari ja di kórere Ngöböe kwe jodron rügai gare nie.	Vamos a pedir a Dios que nos haga más inteligentes.
Ari niere gwaire, Ngöbö, mó nun Rün .	Digamos juntos , Dios, tú eres nuestro Padre.
Matdare nun bige jatötdigai ni dogwóbotdó, Batdi, niere tie, ¿Sobro migatda medende jae?	Hoy vamos a estudiar la cabeza Primero, díganme, ¿Dónde se pone el sombrero?
Ja dogwóbitdi.	Sobre la cabeza.
¿Dre ja dogwó sögö?	¿Qué peinamos?
Ni ja dogwó druen sögö.	Peinamos el pelo.
¿Dre bitdi ni tó nigren?	¿Con qué vemos?
Ni ogwóbitdi.	Con los ojos.
¿Ni ogwóbitdi ta ne kó ño?	¿Cómo se llama lo que está encima de los ojos?
Ogwógwatda.	Párpados.
¿Ni ogwó bo ño?	¿De qué color son los ojos?
Drüne.	Negros.
Bugere.	Azules.
Dobore.	Pardos.
Kare.	Verdes.
¿Nigwe roin dre bitdi nie?	¿Con qué oímos?
Ni olobitdi.	Con los oídos.
¿Dre bitdi ni tó jodron róse?	¿Con qué olemos?
Ni isonbitdi.	Con la nariz.
¿Dre bitdi ni tó mröre?	¿Con qué comemos?
Ni mröre kadabitdi tubitdi.	Comemos con la boca y los dientes.
¿Dre bitdi ni tó blitde?	¿Con qué hablamos?
Tidróbitdi.	Con la lengua.
¿Dre tó ni ogwó bitdi kwin?	¿Qué tenemos arriba de los ojos?
Ni ogwó druen.	Las cejas.
¿Ni ogwóregri kó ño?	¿Cómo se llama la parte de adelante de los ojos?
Ngwóre.	La cara.
¿Ni tó ja mige ye gondi kó ño?	¿Cómo se llama donde uno se pinta?
Ni tó ja migatda ngwórebotdó.	Nos pintamos la cara.
¿Dre tó ni dogwó ketetde?	¿Qué sostiene la cabeza?
Rorogró.	El cuello.
Ni ngwóre tó kitde druende, ¿ye kó ño?	Cuando salen pelos en la cara, ¿cómo se llama eso?
¿Ngóbe tö tó neme ni klótdea?	¿A los Guaymí les gustan los barbudos?
Ñagare, ni bó kóme.	No, son feos.
¿Ñobotdó?	¿Por qué?
Akwe ngwóre klón tugwó kwerere aratdo i kló kwerere.	Porque la cara parece espina de puerco espín y también barba del maíz.
Köbö kwin dego, ngobogre.	Buen día, niños.
Ñantöre dego, dirigó.	Buenos días, maestra.
Ari ja töe kórere Maria, Jesu meye, kwe ni meye di migai sribibotdó.	Vamos a pedirle a María, la mamá de Jesús, que ayude a nuestras mamás en sus trabajos.
Kwin Ngöbögróge dego, Maria.	Hola, María.
Nigwe jatödigaba ni ogwóbotdó jodrin Matdare, ni bige jatödige ni ngrabare.	Ayer estudiamos la cabeza, Hoy vamos a estudiar el cuerpo humano.
¿Dre bitdi ni tó jodron ketetde?	¿Con qué agarramos las cosas?
Ni kisebitdi.	Con las manos.
¿Dre ni tó noin?	¿Con qué caminamos?
Ni ngotdobitdi.	Con los pies.
¿Ni ngwóregri ye kó ño?	¿Cómo se llama la parte de adelante del cuerpo?
Motdróró.	El pecho.
¿Ni trögri ye kó ño?	¿Cómo se llama la parte de atrás?
Trögró.	La espalda.
¿Medende korea migatda jae?	¿Dónde se pone la correa?
Migatda ja mregarabotdó.	En la cintura.
Ni tó ngitdiegó, ¿dre tó kitde ne nie?	Si nos cortamos, ¿qué nos sale?
Ni dórie.	La sangre.
¿Ni dórie tó noin ño?	¿Por dónde camina la sangre?
Tó noin ni bigin ngrabare, ni brugwó an ni bügrón.	Por las venas, el corazón y los pulmones.
Ni tó mröre, ¿mrö tó nigen ño?	Cuando comemos, ¿a dónde va la comida?
Tó nigen ni kadatdebitdi, ni roro jiebitdi, bitdi tó nigen motdo, abitdi ni ngóngróbitdi, tó nigen ni ngrabare.	De la boca al esófago, de ahí al estómago, luego al intestino y al resto del cuerpo.
¿Ñaka tó nemendea?	¿Y no queda nada?
Tó nemende, kitdagatda.	Lo que queda, se bota.
¿Ño?	¿Cómo?
Ni köde, ¿dre tó ni toen ni botdó?	A los gordos, ¿qué se les nota?
Ja krüborebitdi, ja itdraninbitdi an ja ngónbitdi.	Por el sudor, la orina y el excremento.
Ni büle.	La barriga.
Ni króchi, ¿dre tó ni toen ni botdó?	A los flacos, ¿qué se les nota?
Ni króna.	Las costillas.
